Nama_Pangan;Serat_g;Vitamin_C_mg;Vitamin_A_IU;Jenis;Skor_A;Skor_B;Skor_O;Skor_AB;Target_Pencegahan
Apple  ;1.3;4.0;38;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Apricot  ;2.0;10.0;1926;Buah;1;1;0;1;Kesehatan Mata, Antioksidan
Avocado ;6.7;10.0;146;Buah;0;0;1;0;Kardiovaskular, Kolesterol
Banana  ;2.6;8.7;64;Buah;0;1;1;1;Masalah Pencernaan, Energi
Blackberries ;5.3;21.0;214;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Blueberry  ;2.4;9.7;54;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Carambola or Starfruit;2.8;34.4;61;Buah;1;1;0;1;Imunitas, Detoksifikasi
Cherimoya fruit ;3.0;12.6;5;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Cherry fruit  ;2.1;7.0;64;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Clementine;1.7;48.8;0;Buah;1;1;0;1;Imunitas, Detoksifikasi
Cranberries;4.6;13.3;60;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Currants Black;0.0;181.0;230;Buah;1;1;0;1;Imunitas, Detoksifikasi
Currants, Red and White;4.3;41.0;42;Buah;1;1;0;1;Imunitas, Detoksifikasi
Dates, deglet noor;8.0;0.4;10;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Dates, medjool;6.7;0.0;149;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Durian ;3.8;19.7;44;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Figs, raw;2.9;2.0;142;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Grapefruit, pink and red;1.6;31.2;1150;Buah;1;1;0;1;Kesehatan Mata, Antioksidan
Grapefruit, white;1.1;33.3;33;Buah;1;1;0;1;Imunitas, Detoksifikasi
Grapes, red or green;0.9;10.8;66;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Groundcherries or Cape Gooseberries;0.0;11.0;720;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Guava  ;5.4;228.3;624;Buah;1;1;0;1;Imunitas, Detoksifikasi
Gooseberries;4.3;27.7;290;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Jackfruit ;1.6;6.7;297;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Kiwifruit, gold;2.0;105.4;72;Buah;1;1;0;1;Imunitas, Detoksifikasi
Kiwifruit, green;3.0;92.7;87;Buah;1;1;0;1;Imunitas, Detoksifikasi
Kumquat ;6.5;43.9;290;Buah;1;1;0;1;Imunitas, Detoksifikasi
Lemon with peel;4.7;77.0;30;Buah;-1;1;-1;0;Imunitas, Vitamin C
Lime ;2.8;29.1;50;Buah;-1;1;-1;0;Imunitas, Vitamin C
Litchis or Lychees ;1.3;71.5;0;Buah;1;1;0;1;Imunitas, Detoksifikasi
Mandarin-Clementine ;1.7;48.8;0;Buah;1;1;0;1;Imunitas, Detoksifikasi
Mandarin-Tangerine ;1.8;26.7;681;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Mango  ;1.8;27.7;765;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Melons, cantaloupe;0.9;36.7;3382;Buah;1;1;0;1;Kesehatan Mata, Antioksidan
Melons, casaba;0.9;21.8;0;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Melons, honeydew;0.8;18.0;50;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Mulberries, raw;1.7;36.4;25;Buah;1;1;0;1;Imunitas, Detoksifikasi
Nectarine ;1.7;5.4;332;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Oranges  ;2.4;53.2;225;Buah;-1;1;-1;0;Imunitas, Vitamin C
Papaya ;1.8;61.8;1094;Buah;1;1;0;1;Kesehatan Mata, Antioksidan
Passion fruit ;10.4;30.0;1272;Buah;1;1;0;1;Kesehatan Mata, Antioksidan
Peaches ;1.5;6.6;326;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Pear ;3.1;4.2;23;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Persimmons, native;0.0;66.0;0;Buah;1;1;0;1;Imunitas, Detoksifikasi
Pineapple ;1.4;47.8;58;Buah;1;0;-1;1;Pencernaan, Anti-inflamasi
Plum ;1.4;9.5;345;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Pomegranate  ;4.0;10.2;0;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Quince fruit;1.9;15.0;40;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Raspberry ;6.5;26.2;33;Buah;1;0;1;0;Pencernaan, Manajemen Kolesterol
Strawberry  ;2.0;58.8;12;Buah;1;1;0;1;Imunitas, Detoksifikasi
Tangerine ;1.8;26.7;681;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Watermelon  ;0.4;8.1;569;Buah;0;0;0;0;Metabolisme Sel, Imun Dasar
Beet greens, raw;4.33;30.0;6326;Sayur;1;0;1;1;Kardiovaskular, Anemia
Beet greens, cooked;2.9;24.9;7654;Sayur;1;0;1;1;Kardiovaskular, Anemia
Broccoli raab or Broccoli rabe, raw;2.7;20.2;2622;Sayur;1;1;1;1;Diabetes, Kanker
Broccoli raab or Broccoli rabe, cooked;2.8;37.0;4533;Sayur;1;1;1;1;Diabetes, Kanker
Brussels Sprouts, raw;3.8;85.0;754;Sayur;1;1;0;1;Imunitas, Detoksifikasi
Brussels Sprouts, cooked;2.6;62.0;775;Sayur;1;1;0;1;Imunitas, Detoksifikasi
Cabbage, chinese or pak-choi, raw;1.0;45.0;4468;Sayur;-1;-1;-1;-1;Masalah Pencernaan
Cabbage, common, raw;2.3;51.0;126;Sayur;-1;-1;-1;-1;Masalah Pencernaan
Cabbage, common, cooked;1.9;37.5;80;Sayur;-1;-1;-1;-1;Masalah Pencernaan
Cabbage, red, raw;2.1;57.0;1116;Sayur;-1;-1;-1;-1;Masalah Pencernaan
Cabbage, red, cooked;2.6;34.4;33;Sayur;-1;-1;-1;-1;Masalah Pencernaan
Cabbage, savoy, raw;3.1;31.0;1000;Sayur;-1;-1;-1;-1;Masalah Pencernaan
Cabbage, savoy, cooked;2.8;17.0;889;Sayur;-1;-1;-1;-1;Masalah Pencernaan
Celery, raw;1.6;3.1;449;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Celery, cooked;1.6;6.1;521;Sayur;0;0;0;0;Metabolisme Sel, Imun Dasar
Chard, swiss, raw;1.6;3.0;6116;Sayur;1;1;0;1;Kesehatan Mata, Antioksidan
